category;sex;weight_class;place;name;first_name;country
Kata Individual;Male;;1;Kiyuna;Ryo;Japan
Kata Individual;Male;;2;Quintero;Damian;Spain
Kata Individual;Male;;3;Sofuoglu;Ali;Turkey
Kata Individual;Male;;3;Busatto;Matia;Italy
Kata Individual;Female;;1;Sanchez;Sandra;Spain
Kata Individual;Female;;2;Shimizu;Kyo;Japan
Kata Individual;Female;;3;Grace;Lau;Hong Kong
Kata Individual;Female;;3;Bottaro;Viviana;Italy
Kumite Individual;Male;+84kg;1;Horne;Jonathan;Germany
Kumite Individual;Male;+84kg;2;Ganjzadeh;Sajad;Iran
Kumite Individual;Male;+84kg;3;Seck;Babacar;Spain
Kumite Individual;Male;+84kg;3;Yamanoglu;Alparslan;Turkey
Kumite Individual;Female;+68kg;1;Chatiziliadou;Eleni;Greece
Kumite Individual;Female;+68kg;2;Uekusa;Ayumi;Japan
Kumite Individual;Female;+68kg;3;Abouel;Shymaa;Egypt
Kumite Individual;Female;+68kg;3;Antunovic;Hana;Sweden
Kumite Individual;Female;-50kg;1;Miyahara;Miyo;Japan
Kumite Individual;Female;-50kg;2;Ozcelik;Serap;Turkey
Kumite Individual;Female;-50kg;3;Plank;Bettina;Austria
Kumite Individual;Female;-50kg;3;Bahmanyar;Sara;Iran
Kumite Individual;Male;-60kg;1;Crescenzo;Angelo;Italy
Kumite Individual;Male;-60kg;2;Sago;Naoto;Japan
Kumite Individual;Male;-60kg;3;Assadilov;Darkhan;Kazakhstan
Kumite Individual;Male;-60kg;3;Ameknassi;Abdessalam;Morocco
Kumite Individual;Male;-75kg;1;Asgari;Bahman;Iran
Kumite Individual;Male;-75kg;2;Busa;Luigi;Italy
Kumite Individual;Male;-75kg;3;Nishimura;Ken;Japan
Kumite Individual;Male;-75kg;3;Rafael;Aghayev;Azerbaijan
Kumite Individual;Male;-67kg;1;Da Costa;Steven;France
Kumite Individual;Male;-67kg;2;Figueira;Vincius;Brazil
Kumite Individual;Male;-67kg;3;Velozo;Camilo;Chile
Kumite Individual;Male;-67kg;3;Derafshipour;Hamoon;Iran
Kumite Individual;Male;-84kg;1;Kvesic;Ivan;Croatia
Kumite Individual;Male;-84kg;2;Chobotar;Valerii;Ukraine
Kumite Individual;Male;-84kg;3;Poorshap;Zabiollah;Iran
Kumite Individual;Male;-84kg;3;Aktas;Ugur;Turkey
Kumite Individual;Female;-55kg;1;Banaszczyk;Dorota;Poland
Kumite Individual;Female;-55kg;2;Bitsch;Jana;Germany
Kumite Individual;Female;-55kg;3;Wen;Tzu-Yun;Taiwan
Kumite Individual;Female;-55kg;3;Goranova;Ivet;Bulgaria
Kumite Individual;Female;-61kg;1;Prekovic;Jovana;Serbia
Kumite Individual;Female;-61kg;2;Yin;Xiaoyan;China
Kumite Individual;Female;-61kg;3;Sadini;Btissam;Morocco
Kumite Individual;Female;-61kg;3;Lofty;Giana;Egypt
Kumite Individual;Female;-68kg;1;Zaretska;Irina;Azerbaijan
Kumite Individual;Female;-68kg;2;Isaeva;Victoria;Russia
Kumite Individual;Female;-68kg;3;Matoub;Lamya;Algeria
Kumite Individual;Female;-68kg;3;Kopunova;Miroslava;Slovakia
Kumite Team;Male;;1;;;Iran
Kumite Team;Male;;2;;;Turkey
Kumite Team;Male;;3;;;Japan
Kumite Team;Male;;3;;;Italy
Kumite Team;Female;;1;;;France
Kumite Team;Female;;2;;;Japan
Kumite Team;Female;;3;;;Spain
Kumite Team;Female;;3;;;Egypt
Kata Team;Male;;1;;;Japan
Kata Team;Male;;2;;;Spain
Kata Team;Male;;3;;;Iran
Kata Team;Male;;3;;;Italy
Kata Team;Female;;1;;;Japan
Kata Team;Female;;2;;;Spain
Kata Team;Female;;3;;;Italy
Kata Team;Female;;3;;;Turkey
